prompt_variant,category,subcategory,difficulty,evaluation_criteria,original_prompt,vision_question,vlm 
p2,Graphical design,Layout & Design,Medium,Zones visually separated + content in right zones,"A newsletter layout with a banner image header, a two-column body section with text on the left and an image on the right, a highlighted quote block, and a footer with unsubscribe link","The prompt described a specific layout: ""A newsletter layout with a banner image header, a two-column body section with text on the left and an image on the right, a highlighted quote block, and a footer with unsubscribe link"". Are all described layout zones/elements present with correct visual hierarchy? Is any text readable and correctly placed? Rate: PASS or FAIL.",qwen3-vl 
p3,Graphical design,Layout & Design,Medium,Zones visually separated + content in right zones,"A restaurant menu layout with a logo header, three category sections (appetizers, mains, desserts) each with items and prices, and a footer with address and hours","The prompt described a specific layout: ""A restaurant menu layout with a logo header, three category sections (appetizers, mains, desserts) each with items and prices, and a footer with address and hours"". Are all described layout zones/elements present with correct visual hierarchy? Is any text readable and correctly placed? Rate: PASS or FAIL.",qwen3-vl 
p1,Graphical design,Style Diversity,Easy,Style recognizable by any viewer,"A golden retriever sitting in a garden, painted in the style of an oil painting with visible brushstrokes and rich texture","The prompt asked for a specific art style: ""A golden retriever sitting in a garden, painted in the style of an oil painting with visible brushstrokes and rich texture"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p2,Graphical design,Style Diversity,Easy,Style recognizable by any viewer,"A golden retriever sitting in a garden, rendered in Japanese anime style with flat colors and large expressive eyes","The prompt asked for a specific art style: ""A golden retriever sitting in a garden, rendered in Japanese anime style with flat colors and large expressive eyes"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p3,Graphical design,Style Diversity,Easy,Style recognizable by any viewer,"A golden retriever sitting in a garden, rendered in pixel art style with a 32x32 grid and limited color palette","The prompt asked for a specific art style: ""A golden retriever sitting in a garden, rendered in pixel art style with a 32x32 grid and limited color palette"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p1,Graphical design,Style Diversity,Extreme,Result evokes the described feeling/contradiction,An interior scene rendered in soft brutalism — raw concrete textures combined with rounded pastel furniture and warm diffused light,"The prompt asked for a specific art style: ""An interior scene rendered in soft brutalism — raw concrete textures combined with rounded pastel furniture and warm diffused light"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p2,Graphical design,Style Diversity,Extreme,Result evokes the described feeling/contradiction,"A still life painted in anxious minimalism — sparse composition with uncomfortable negative space, muted colors, and subtle visual tension","The prompt asked for a specific art style: ""A still life painted in anxious minimalism — sparse composition with uncomfortable negative space, muted colors, and subtle visual tension"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p3,Graphical design,Style Diversity,Extreme,Result evokes the described feeling/contradiction,A cityscape rendered in nostalgic futurism — retro-futuristic 1960s space-age aesthetics with a melancholic warm-toned patina,"The prompt asked for a specific art style: ""A cityscape rendered in nostalgic futurism — retro-futuristic 1960s space-age aesthetics with a melancholic warm-toned patina"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p1,Graphical design,Style Diversity,Hard,Both styles visually identifiable in result,A forest rendered in photorealistic watercolor — the detail and lighting of a photo combined with visible watercolor bleeds and paper texture,"The prompt asked for a specific art style: ""A forest rendered in photorealistic watercolor — the detail and lighting of a photo combined with visible watercolor bleeds and paper texture"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p2,Graphical design,Style Diversity,Hard,Both styles visually identifiable in result,A woman in a futuristic city rendered in cyberpunk Art Nouveau — neon colors and tech elements combined with flowing organic lines and floral borders,"The prompt asked for a specific art style: ""A woman in a futuristic city rendered in cyberpunk Art Nouveau — neon colors and tech elements combined with flowing organic lines and floral borders"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p3,Graphical design,Style Diversity,Hard,Both styles visually identifiable in result,A medieval castle depicted in Japanese ukiyo-e woodblock print style combined with photorealistic sky and lighting,"The prompt asked for a specific art style: ""A medieval castle depicted in Japanese ukiyo-e woodblock print style combined with photorealistic sky and lighting"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p1,Graphical design,Style Diversity,Medium,Key visual characteristics of movement present,"A city street scene in the style of Art Deco — geometric shapes, gold and black palette, ornamental symmetry","The prompt asked for a specific art style: ""A city street scene in the style of Art Deco — geometric shapes, gold and black palette, ornamental symmetry"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p2,Graphical design,Style Diversity,Medium,Key visual characteristics of movement present,"A woman with a parasol in the style of Impressionism — soft brushstrokes, dappled light, pastel palette","The prompt asked for a specific art style: ""A woman with a parasol in the style of Impressionism — soft brushstrokes, dappled light, pastel palette"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p3,Graphical design,Style Diversity,Medium,Key visual characteristics of movement present,"A portrait of a man in Pop Art style — bold outlines, Ben-Day dots, flat vivid primary colors","The prompt asked for a specific art style: ""A portrait of a man in Pop Art style — bold outlines, Ben-Day dots, flat vivid primary colors"". Is the requested style clearly recognizable? Are its key visual characteristics present? Rate: PASS or FAIL.",qwen3-vl 
p1,Human realism,Faces & Expressions,Easy,"Symmetric face, correct features, recognizable emotion",A close-up portrait of a young woman with a warm natural smile,"Look at the face(s) in this image. The prompt asked for: ""A close-up portrait of a young woman with a warm natural smile"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p2,Human realism,Faces & Expressions,Easy,"Symmetric face, correct features, recognizable emotion","A portrait of a middle-aged man with a calm, serious expression","Look at the face(s) in this image. The prompt asked for: ""A portrait of a middle-aged man with a calm, serious expression"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p3,Human realism,Faces & Expressions,Easy,"Symmetric face, correct features, recognizable emotion","A headshot of a teenager with a relaxed, neutral face","Look at the face(s) in this image. The prompt asked for: ""A headshot of a teenager with a relaxed, neutral face"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p1,Human realism,Faces & Expressions,Extreme,Each face distinct + each expression different and readable,"A group of three friends at a table: one laughing with head tilted back, one looking shocked with wide eyes, and one rolling their eyes with a smirk","Look at the face(s) in this image. The prompt asked for: ""A group of three friends at a table: one laughing with head tilted back, one looking shocked with wide eyes, and one rolling their eyes with a smirk"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p2,Human realism,Faces & Expressions,Extreme,Each face distinct + each expression different and readable,"A family photo with four people: a father beaming with pride, a mother smiling gently, a teenager looking bored, and a child grinning excitedly","Look at the face(s) in this image. The prompt asked for: ""A family photo with four people: a father beaming with pride, a mother smiling gently, a teenager looking bored, and a child grinning excitedly"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p3,Human realism,Faces & Expressions,Extreme,Each face distinct + each expression different and readable,"Three coworkers in a meeting: one looking frustrated with furrowed brows, one nodding with a pleased expression, and one looking confused with a tilted head","Look at the face(s) in this image. The prompt asked for: ""Three coworkers in a meeting: one looking frustrated with furrowed brows, one nodding with a pleased expression, and one looking confused with a tilted head"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p1,Human realism,Faces & Expressions,Hard,Age-appropriate features + emotion match,"An elderly woman in her 80s with deep wrinkles and white hair, smiling warmly with kind eyes","Look at the face(s) in this image. The prompt asked for: ""An elderly woman in her 80s with deep wrinkles and white hair, smiling warmly with kind eyes"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p2,Human realism,Faces & Expressions,Hard,Age-appropriate features + emotion match,"A 5-year-old child with round cheeks and large eyes, crying with tears streaming down their face","Look at the face(s) in this image. The prompt asked for: ""A 5-year-old child with round cheeks and large eyes, crying with tears streaming down their face"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p3,Human realism,Faces & Expressions,Hard,Age-appropriate features + emotion match,"An elderly man in his 70s with age spots and thinning gray hair, looking skeptically over reading glasses","Look at the face(s) in this image. The prompt asked for: ""An elderly man in his 70s with age spots and thinning gray hair, looking skeptically over reading glasses"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p1,Human realism,Faces & Expressions,Medium,Emotion clearly readable and convincing,"A close-up of a person's face showing clear disgust, nose wrinkled and lip curled","Look at the face(s) in this image. The prompt asked for: ""A close-up of a person's face showing clear disgust, nose wrinkled and lip curled"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p2,Human realism,Faces & Expressions,Medium,Emotion clearly readable and convincing,"A portrait capturing genuine surprise — raised eyebrows, wide eyes, slightly open mouth","Look at the face(s) in this image. The prompt asked for: ""A portrait capturing genuine surprise — raised eyebrows, wide eyes, slightly open mouth"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p3,Human realism,Faces & Expressions,Medium,Emotion clearly readable and convincing,"A face showing quiet melancholy — downcast eyes, slightly drawn mouth, distant gaze","Look at the face(s) in this image. The prompt asked for: ""A face showing quiet melancholy — downcast eyes, slightly drawn mouth, distant gaze"". Is the face symmetric with correct features? Is the intended emotion clearly readable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p1,Human realism,Full Body,Easy,"Correct limb count, natural proportions, no distortion","A woman standing upright in a relaxed pose, arms at her sides, wearing jeans and a white t-shirt","Examine the full body in this image. The prompt was: ""A woman standing upright in a relaxed pose, arms at her sides, wearing jeans and a white t-shirt"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p2,Human realism,Full Body,Easy,"Correct limb count, natural proportions, no distortion","A man standing straight facing the camera, hands in pockets, normal proportions","Examine the full body in this image. The prompt was: ""A man standing straight facing the camera, hands in pockets, normal proportions"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p3,Human realism,Full Body,Easy,"Correct limb count, natural proportions, no distortion","A person standing in a neutral pose in a park, full body visible from head to feet","Examine the full body in this image. The prompt was: ""A person standing in a neutral pose in a park, full body visible from head to feet"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p1,Human realism,Full Body,Extreme,All bodies correct + spatial interaction plausible,"Two tango dancers in a close embrace, the man dipping the woman backward with intertwined legs","Examine the full body in this image. The prompt was: ""Two tango dancers in a close embrace, the man dipping the woman backward with intertwined legs"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p2,Human realism,Full Body,Extreme,All bodies correct + spatial interaction plausible,"Two soccer players mid-tackle, one sliding and the other jumping over with the ball at their feet","Examine the full body in this image. The prompt was: ""Two soccer players mid-tackle, one sliding and the other jumping over with the ball at their feet"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p3,Human realism,Full Body,Extreme,All bodies correct + spatial interaction plausible,"Two gymnasts performing a synchronized handstand, side by side with identical body alignment","Examine the full body in this image. The prompt was: ""Two gymnasts performing a synchronized handstand, side by side with identical body alignment"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p1,Human realism,Full Body,Hard,Pose recognizable + anatomy correct + limbs coherent,"A person in a yoga tree pose — standing on one leg with the other foot pressed to the inner thigh, arms raised overhead","Examine the full body in this image. The prompt was: ""A person in a yoga tree pose — standing on one leg with the other foot pressed to the inner thigh, arms raised overhead"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p2,Human realism,Full Body,Hard,Pose recognizable + anatomy correct + limbs coherent,A rock climber clinging to a cliff face with arms and legs extended to different holds,"Examine the full body in this image. The prompt was: ""A rock climber clinging to a cliff face with arms and legs extended to different holds"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p3,Human realism,Full Body,Hard,Pose recognizable + anatomy correct + limbs coherent,"A cellist seated with correct posture, legs around the instrument, bow arm extended","Examine the full body in this image. The prompt was: ""A cellist seated with correct posture, legs around the instrument, bow arm extended"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p1,Human realism,Full Body,Medium,Anatomically plausible pose + correct proportions,"A woman mid-stride running through a park, hair and clothes showing motion","Examine the full body in this image. The prompt was: ""A woman mid-stride running through a park, hair and clothes showing motion"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p2,Human realism,Full Body,Medium,Anatomically plausible pose + correct proportions,"A man captured mid-jump over a puddle, body in the air with bent knees","Examine the full body in this image. The prompt was: ""A man captured mid-jump over a puddle, body in the air with bent knees"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p3,Human realism,Full Body,Medium,Anatomically plausible pose + correct proportions,"A dancer in a dynamic spin, dress flowing outward with one leg extended","Examine the full body in this image. The prompt was: ""A dancer in a dynamic spin, dress flowing outward with one leg extended"". Are limb count, proportions, and pose anatomically correct? Is the described action/pose recognizable? Note any distortions. Rate: PASS or FAIL.",qwen3-vl 
p1,Human realism,Hands,Easy,"Correct finger count (5 per hand), natural proportions","A person standing with both hands visible at their sides, fingers relaxed and naturally spread","Examine the hands in this image closely. The prompt was: ""A person standing with both hands visible at their sides, fingers relaxed and naturally spread"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p2,Human realism,Hands,Easy,"Correct finger count (5 per hand), natural proportions","A woman holding her hands out in front of her palms-up, all ten fingers clearly visible","Examine the hands in this image closely. The prompt was: ""A woman holding her hands out in front of her palms-up, all ten fingers clearly visible"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p3,Human realism,Hands,Easy,"Correct finger count (5 per hand), natural proportions","A man with arms crossed, both hands resting on opposite upper arms with fingers visible","Examine the hands in this image closely. The prompt was: ""A man with arms crossed, both hands resting on opposite upper arms with fingers visible"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p1,Human realism,Hands,Extreme,All hands anatomically correct + interaction coherent,"Two people shaking hands in a professional setting, all fingers of both hands anatomically correct","Examine the hands in this image closely. The prompt was: ""Two people shaking hands in a professional setting, all fingers of both hands anatomically correct"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p2,Human realism,Hands,Extreme,All hands anatomically correct + interaction coherent,"Two people doing a high-five, palms meeting with all fingers extended on both hands","Examine the hands in this image closely. The prompt was: ""Two people doing a high-five, palms meeting with all fingers extended on both hands"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p3,Human realism,Hands,Extreme,All hands anatomically correct + interaction coherent,"One person handing a small gift box to another person, both sets of hands gripping the box correctly","Examine the hands in this image closely. The prompt was: ""One person handing a small gift box to another person, both sets of hands gripping the box correctly"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p1,Human realism,Hands,Hard,Gesture accurate + anatomy correct,"A person making a peace sign with their right hand, clearly showing two fingers up and three curled","Examine the hands in this image closely. The prompt was: ""A person making a peace sign with their right hand, clearly showing two fingers up and three curled"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p2,Human realism,Hands,Hard,Gesture accurate + anatomy correct,A hand giving a thumbs-up with four fingers curled and thumb extended upward,"Examine the hands in this image closely. The prompt was: ""A hand giving a thumbs-up with four fingers curled and thumb extended upward"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p3,Human realism,Hands,Hard,Gesture accurate + anatomy correct,"A person counting to three on their fingers, with index, middle, and ring fingers extended","Examine the hands in this image closely. The prompt was: ""A person counting to three on their fingers, with index, middle, and ring fingers extended"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p1,Human realism,Hands,Medium,Correct grip + correct finger count + object properly held,A person holding a white ceramic coffee mug by the handle with their right hand,"Examine the hands in this image closely. The prompt was: ""A person holding a white ceramic coffee mug by the handle with their right hand"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p2,Human realism,Hands,Medium,Correct grip + correct finger count + object properly held,A woman writing in a notebook with a pen gripped correctly in her right hand,"Examine the hands in this image closely. The prompt was: ""A woman writing in a notebook with a pen gripped correctly in her right hand"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p3,Human realism,Hands,Medium,Correct grip + correct finger count + object properly held,A person playing an acoustic guitar with left hand on the fretboard and right hand strumming,"Examine the hands in this image closely. The prompt was: ""A person playing an acoustic guitar with left hand on the fretboard and right hand strumming"". Count the fingers on each visible hand. Are there exactly 5 per hand? Is the grip/gesture anatomically correct? Note any anomalies. Rate: PASS or FAIL.",qwen35-122b 
p1,Human realism,Multi-Subject,Easy,"Two separate individuals, features not merged","Two women standing side by side: one with short blonde hair wearing a red jacket, the other with long black hair wearing a blue dress","The prompt described multiple distinct people: ""Two women standing side by side: one with short blonde hair wearing a red jacket, the other with long black hair wearing a blue dress"". Are all individuals present, visually distinct, and matching their described features? List each person and their observed traits. Rate: PASS or FAIL.",qwen3-vl 
p2,Human realism,Multi-Subject,Easy,"Two separate individuals, features not merged","Two men at a cafe: one with a beard and glasses wearing a green sweater, the other clean-shaven in a black hoodie","The prompt described multiple distinct people: ""Two men at a cafe: one with a beard and glasses wearing a green sweater, the other clean-shaven in a black hoodie"". Are all individuals present, visually distinct, and matching their described features? List each person and their observed traits. Rate: PASS or FAIL.",qwen3-vl 
p3,Human realism,Multi-Subject,Easy,"Two separate individuals, features not merged","Two friends posing: one tall with curly red hair in denim overalls, the other short with straight brown hair in a yellow sundress","The prompt described multiple distinct people: ""Two friends posing: one tall with curly red hair in denim overalls, the other short with straight brown hair in a yellow sundress"". Are all individuals present, visually distinct, and matching their described features? List each person and their observed traits. Rate: PASS or FAIL.",qwen3-vl 
p1,Human realism,Multi-Subject,Medium,All individuals distinct and identifiable,"Four people at a dinner table: a bald man in a suit, a woman with silver hair in a red blouse, a young man with dreadlocks in a denim jacket, and a woman with a hijab in a green dress","The prompt described multiple distinct people: ""Four people at a dinner table: a bald man in a suit, a woman with silver hair in a red blouse, a young man with dreadlocks in a denim jacket, and a woman with a hijab in a green dress"". Are all individuals present, visually distinct, and matching their described features? List each person and their observed traits. Rate: PASS or FAIL.",qwen3-vl 
p2,Human realism,Multi-Subject,Medium,All individuals distinct and identifiable,"Three musicians on stage: a tall woman with short pink hair playing bass, a man with a beard and bandana on drums, and a slim man with glasses playing keyboard","The prompt described multiple distinct people: ""Three musicians on stage: a tall woman with short pink hair playing bass, a man with a beard and bandana on drums, and a slim man with glasses playing keyboard"". Are all individuals present, visually distinct, and matching their described features? List each person and their observed traits. Rate: PASS or FAIL.",qwen3-vl 
p3,Human realism,Multi-Subject,Medium,All individuals distinct and identifiable,"Three hikers on a trail: a man with a backpack and sunhat, a woman with braided hair and hiking poles, and a teenager with a baseball cap and water bottle","The prompt described multiple distinct people: ""Three hikers on a trail: a man with a backpack and sunhat, a woman with braided hair and hiking poles, and a teenager with a baseball cap and water bottle"". Are all individuals present, visually distinct, and matching their described features? List each person and their observed traits. Rate: PASS or FAIL.",qwen3-vl 
p1,Professional Studio,Camera & Lighting,Easy,Perspective matches requested camera type,A wide-angle shot of a modern living room interior showing expansive space with slight barrel distortion at the edges,"The prompt specified camera/lighting: ""A wide-angle shot of a modern living room interior showing expansive space with slight barrel distortion at the edges"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p2,Professional Studio,Camera & Lighting,Easy,Perspective matches requested camera type,"A close-up macro shot of a single dewdrop on a rose petal, shallow depth of field","The prompt specified camera/lighting: ""A close-up macro shot of a single dewdrop on a rose petal, shallow depth of field"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p3,Professional Studio,Camera & Lighting,Easy,Perspective matches requested camera type,An aerial bird's-eye view looking straight down at a traffic roundabout with cars and trees,"The prompt specified camera/lighting: ""An aerial bird's-eye view looking straight down at a traffic roundabout with cars and trees"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p1,Professional Studio,Camera & Lighting,Extreme,Specific cinematic effect achieved,"A tilt-shift photograph of a city street making real-life look like a miniature model — selective focus strip, saturated colors","The prompt specified camera/lighting: ""A tilt-shift photograph of a city street making real-life look like a miniature model — selective focus strip, saturated colors"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p2,Professional Studio,Camera & Lighting,Extreme,Specific cinematic effect achieved,A cinematic frame with blue and orange anamorphic lens flare streaking horizontally across a dark moody scene,"The prompt specified camera/lighting: ""A cinematic frame with blue and orange anamorphic lens flare streaking horizontally across a dark moody scene"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
p3,Professional Studio,Camera & Lighting,Extreme,Specific cinematic effect achieved,"A portrait with dramatic split lighting — half the face brightly lit, the other half in deep shadow, high contrast chiaroscuro","The prompt specified camera/lighting: ""A portrait with dramatic split lighting — half the face brightly lit, the other half in deep shadow, high contrast chiaroscuro"". Does the perspective, depth of field, and lighting pattern match what was described? Rate: PASS or FAIL.",gemma4-26b 
